id,createdAt,updateAt,district,cityId,deletedAt
3a8656f9-531d-4214-9f7e-6b173bc4546a,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Sawan,67f6d80e-bd2b-44e7-92da-3b95c0ed2ede,
3b6fff91-035f-4015-8f90-f5b3f95a81e9,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Selat,33303f10-dedd-4341-936a-c17d2a988fc8,
3ba0b43f-7261-4074-a6dd-d870b7637fad,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Manggis,33303f10-dedd-4341-936a-c17d2a988fc8,
3c0a50d5-be7f-4dfe-bb05-7cdbf3f64460,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Banjarangkan,85a61be7-8e8f-45b6-a55e-219048ce6e90,
3dacc2b0-9076-4cff-86ef-5f24d37c483d,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Selemadeg Timur,867dde5f-5cbb-4fcc-8185-d6c339872190,
493b28cc-f675-4c01-98b3-318b4bbcc34c,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Bebandem,33303f10-dedd-4341-936a-c17d2a988fc8,
4a0237c3-5785-41e0-944e-1c4643f2c905,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Bangli,580eced8-f6b1-4413-99ad-d159e03fe114,
4a49c335-1d25-41e6-bbb4-5eae93fdc914,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Blahbatuh,07a4b579-5491-4ac5-b54e-1247d398538d,
5a60b7aa-bc50-4d56-8d57-6d9ac3180a1a,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Kuta Utara,dbd580c3-9512-41d1-93f3-a1f57bf8445d,
60c59f38-a391-4b69-8a60-cc40bedaffba,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Sidemen,33303f10-dedd-4341-936a-c17d2a988fc8,
61bce9e4-4639-42b8-91c3-83fcaef984e4,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Marga,867dde5f-5cbb-4fcc-8185-d6c339872190,
67f53b19-0503-4e5e-b548-888d8c44029e,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Pupuan,867dde5f-5cbb-4fcc-8185-d6c339872190,
6fefb371-ab63-427c-afd6-06b7649c0e82,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Gerokgak,67f6d80e-bd2b-44e7-92da-3b95c0ed2ede,
75cbef27-d718-4767-9cc1-c7055f0ac471,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Rendang,33303f10-dedd-4341-936a-c17d2a988fc8,
774786fc-ae64-435d-a3d8-9387dcc22688,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Kediri,867dde5f-5cbb-4fcc-8185-d6c339872190,
7bf88489-2899-4aac-bd30-5370760fa91c,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Karangasem,33303f10-dedd-4341-936a-c17d2a988fc8,
802f099f-304c-4e8a-b4a5-45a99597d4f1,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Dawan,85a61be7-8e8f-45b6-a55e-219048ce6e90,
8261f807-b574-4ad6-9f30-c3e4b42c9bb6,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Tembuku,580eced8-f6b1-4413-99ad-d159e03fe114,
9a003a6e-3fd1-4025-adaa-a9eeb0c255a9,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Selemadeg,867dde5f-5cbb-4fcc-8185-d6c339872190,
a0db5588-26b9-4576-a0bf-485c498cdcf7,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Denpasar Barat,de754310-b2c3-48ee-a94f-b35c3338e261,
a164b089-b771-4d5d-821e-88e43aac184b,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Penebel,867dde5f-5cbb-4fcc-8185-d6c339872190,
aed14da0-fe8e-478e-a0b0-65da524eba99,2025-10-30 12:22:36.175351,2025-10-30 12:22:36.175351,Degas Sumatera,63a922c6-3a3a-492b-a469-e727b95e0e0e,
af4c0f4a-09e0-46f0-a31b-086233ff33a9,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Susut,580eced8-f6b1-4413-99ad-d159e03fe114,
b458234d-50ce-494f-a236-223190b3f518,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Denpasar Utara,de754310-b2c3-48ee-a94f-b35c3338e261,
b639494b-3a3f-4d2c-85a1-dd5a3e07cf59,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Kuta Selatan,dbd580c3-9512-41d1-93f3-a1f57bf8445d,
